"Symbol","n","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval"
"ATP6V0B",2,3026.45,0,14314.25,0,21181.8,0,11987.35,0
"ATP6V0C",1,211.3,0,3017.1,0,7685.2,0,482.2,0
"ATP6V0D1",1,1092.9,0,13881.7,0,18021.7,0,3442.5,0
"ATP6V0D2",1,106.7,0.68276,313.6,0.06552,508.1,0.0069,127.1,0.41724
"ATP6V0E1",2,7181.9,0,15823.1,0,18506.05,0,10347.9,0
"ATP6V0E2",1,4135.2,0,14612.8,0,17544.1,0,6482.2,0
"ATP6V1A",1,4516.3,0,16989.1,0,19253.1,0,7308.5,0
"ATP6V1B1",1,451.2,0,4917.9,0,1741,0,292.3,0
"ATP6V1B2",1,5830.5,0,22102.7,0,27170.5,0,7851.6,0
"ATP6V1C1",2,1285.95,0,9028.1,0,11902.5,0,2891.1,0
"ATP6V1C2",2,123.2,0.184485,372.8,0.12586,380.55,0.20517,153.4,0.103445
"ATP6V1D",1,7418,0,29792.2,0,37461.2,0,12670.4,0
"ATP6V1E1",2,9220.15,0,31641.35,0,37685.7,0,20091.9,0
"ATP6V1E2",1,301.6,0,3880.5,0,2969.6,0,439.5,0
"ATP6V1F",1,6355.9,0,19505.2,0,23332.5,0,9885.1,0
"ATP6V1G1",1,6905.9,0,21464.8,0,23226.4,0,7704.3,0
"ATP6V1G2",2,118.45,0.163795,1082.45,0,780.9,0.00345,132.4,0.301725
"ATP6V1G3",2,101.2,0.872415,280.85,0.4931,489.85,0.063795,141.15,0.18276
"ATP6V1H",2,187.9,0,5635.05,0,8052.2,0,405.5,0
"ATP7A",1,1493.4,0,6424.2,0,9121.7,0,2557.1,0
"ATP7B",2,1009.25,0,7482.5,0,7879.6,0,1344.75,0
"ATP8A1",1,189.3,0,850,0,2204.6,0,268.2,0
"ATP8A2",1,109.5,0.5,302.3,0.13793,406.6,0.01034,145.1,0.07586
"ATP8B1",1,121.9,0.03103,324.8,0.01724,2029.8,0,311.7,0
"ATP8B2",3,385.233333333333,0,3699.76666666667,0,7077.3,0,1270.56666666667,0
"ATP8B3",1,138.1,0,524.9,0,937.9,0,139,0.16207
"ATP8B4",1,127.8,0.0069,292.6,0.22414,354.9,0.04828,113.7,0.92759
"ATP9A",3,2928.33333333333,0.0103433333333333,8019.43333333333,0,17615.7,0,8333.6,0
"ATP9B",1,513.9,0,4497.4,0,2152.7,0,502.9,0
"ATPAF1",2,2808.3,0,12216.75,0,10385.8,0,2785.5,0
"ATPAF2",1,280.9,0,3979.9,0,5245.8,0,415.1,0
"ATPBD3",1,146.6,0,1067.7,0,1308.5,0,192.4,0.00345
"ATPBD4",2,2778.1,0,18371.85,0,2825.3,0,406.65,0
"ATPGD1",1,123.7,0.02069,995.1,0,1073.3,0,131.5,0.31034
"ATPIF1",2,308.45,0,5715.2,0,6077.15,0,508.25,0.00345
"ATR",3,365.5,0.196553333333333,3508.76666666667,0.0563233333333333,3812.43333333333,0.00574666666666667,509.5,0.31954
"ATRIP",2,880.55,0,6055.8,0,12359.55,0,3448.55,0
"ATRN",5,197.58,0.00069,4183.34,0,5474.64,0,319.38,0.008966
"ATRNL1",1,119.8,0.07586,273.8,0.52759,334.8,0.14483,140.6,0.13448
"ATRX",3,177.133333333333,0.494253333333333,1392.83333333333,0.54483,1424.9,0.19655,232.866666666667,0.37471
"ATXN1",2,230.85,0,398.3,0.031035,5306.35,0,642.85,0
"ATXN10",2,392.15,0,3001.65,0,4258.7,0,635.1,0.001725
"ATXN1L",3,678.8,0,3224.7,0,4681.56666666667,0,1101.6,0
"ATXN2",1,833.6,0,17705,0,21074,0,1057.6,0
"ATXN2L",2,1063.95,0,7456.25,0,10645.35,0,1836.45,0
"ATXN3",2,806.85,0,7975.55,0,7974.75,0,1121.05,0.006895
"ATXN7",1,114.4,0.21724,263.9,0.68966,256.4,0.98621,124.1,0.51724
