"","GSM1385013.REP1","GSM1385014.REP2","GSM1385015.REP2","GSM1385016.CTRL","GSM1385017.CBD"
"NCR2",-0.35566541,0.5220057,0.46415853,3.2657,3.026482
"PRPF39",1.1626993,2.7061492,1.42182576,6.9946,6.981674
"SLC9A3R2",-0.33267037,-0.3488194,-0.16819909,10.8662,10.848632
"NOS2",1.05886102,-0.9141289,-0.91492207,2.9891,3.452668
"MOV10",-0.76308034,-2.4159541,-2.25131722,7.5011,7.369743
"STRBP",0.40311917,0.3047165,0.38549432,11.0081,10.666542
"GGT7",-0.16817366,0.3136985,-0.14178729,4.9022,5.133203
"TMEM220",-0.39945437,0.5008495,-1.21743667,3.8998,3.83126
"POU4F2",-0.35799448,-1.0348584,0.40564623,3.2249,2.975039
"ADAMTS7",-1.07087884,-0.7936951,-0.39308251,15.3685,15.469451
"KIAA1109",-0.34239267,0.6467846,-0.90602308,3.5271,3.313889
"BRP44",0.30550898,0.6089456,0.673264,11.8677,11.895417
"DEPDC1",0.50642227,1.1078388,1.07501927,11.3706,10.962243
"EXOSC7",-0.1716987,-0.6753476,-0.56546532,10.0827,10.120048
"ACP2",-1.00334104,-0.2310883,-0.07663941,6.2316,5.994443
"ACAA2",-0.33263263,0.4044156,0.19166435,10.7825,10.829722
"EDC3",-0.37798612,0.0229059,-0.30241148,8.8043,8.566125
"FBXO9",-0.80324051,1.3694048,1.30623979,9.7985,9.160744
"STK36",-0.27671116,-0.1855976,-0.06878766,5.928,5.660916
"FMNL2",1.04647359,0.1481003,0.31245725,8.141,8.339639
"DPYS",-0.05888168,-0.4495502,-0.29640973,2.6756,2.669062
"ATF7IP",0.81599643,1.5284462,1.28372534,9.1162,8.345255
"ALDH5A1",1.34161824,1.5093448,1.27420284,6.2867,6.279891
"CCT4",0.28708889,1.160309,1.27247834,14.7683,14.706783
"SNX11",-0.92886461,-0.6514546,-1.10765913,7.5292,8.298106
"MED31",-0.22315776,-0.5040449,-0.69701968,9.7226,9.447896
"CAND1",-0.03465189,-0.5252078,0.00866567,7.0944,7.628929
"PPARD",-0.38887081,-0.3550804,-0.41166139,10.9228,11.184988
"NUP54",0.13183397,1.1081079,1.00795881,10.8772,10.808644
"C7orf42",1.12564342,0.5663408,0.83975462,7.1108,7.022714
"NOL10",-0.08364484,0.0995688,0.21361794,5.8575,5.601842
"USP39",-0.08977593,0.1740872,0.22703753,12.8401,12.780794
"CALB1",-0.11846309,0.7476526,0.703364,4.6331,4.797867
"PICK1",-1.2268753,-0.7292601,-0.59850811,6.8023,6.448992
"NHP2",-0.12608347,-0.6448182,-0.81933756,12.5593,12.478565
"ZFC3H1",1.31128783,0.0492472,-0.10155683,8.9081,9.10865
"CLPS",-0.63074945,-0.8682287,-0.60185973,6.2662,6.112986
"CCL3L3",-0.04121304,-0.021046,0.48850207,4.6594,4.837994
"ZMYM5",-0.51164885,-0.799087,0.44829554,5.3521,5.38164
"TAS1R2",-0.05888168,0.1214255,0.40564623,3.1009,2.669062
"PCDH17",0.32170123,-0.2196343,1.2188093,2.8053,2.821748
"ENY2",0.66316484,1.0133083,1.17049945,13.7081,13.452535
"PSEN2",-0.80657481,-0.4120927,-0.50320233,10.6148,10.667729
"RAX",-0.15798003,-0.8170803,0.34544919,3.8263,3.945592
"SPG21",0.32261446,0.1073375,0.33637859,11.738,11.799407
"DTX3L",0.24998753,0.6359726,0.22484895,7.5138,7.271792
"FGF23",1.08551085,0.0269257,-0.12905127,3.0299,2.164094
"SBNO2",-0.33156711,-0.8365895,-0.54595337,6.8302,7.017918
"MBD3L1",0.49221949,0.4955072,-1.33794654,3.1484,3.102988
"SLC22A12",-0.42335008,-0.9053087,-0.96523646,6.2004,5.943098
"WIPF1",-0.37624658,-0.7516201,-0.81941892,3.587,3.890546
"ENC1",0.20838636,1.3668125,1.71156096,11.2342,10.804285
"RAB37",0.58512772,-1.8339188,-0.8525901,3.1484,2.482512
"PDPR",-0.54405174,-0.5690832,-0.81486739,4.6859,4.708013
"RAPGEF4",0.11261001,0.2120621,0.64381132,3.2657,2.821748
"TLN1",0.17140626,-0.526087,-0.19077159,8.2255,8.26739
"BBS7",0.7808849,0.6096354,0.52163722,5.634,5.766384
"ALMS1",0.5248749,1.6188159,1.09563008,5.6487,5.47276
"PBXIP1",0.73453856,-0.4916686,0.05796058,6.5183,6.64806
"POLR2A",-0.71679139,-0.5488457,-0.63621149,5.8068,5.676448
"ZNF248",0.48678672,1.1922181,0.17926865,4.1454,4.073103
"TMEM185A",0.1286506,-0.3605076,-0.42675546,6.5672,6.483306
"TMEM37",0.55628558,-1.5540171,-1.36838522,3.8998,3.972485
"TBX20",-0.89807047,-0.486205,-0.28993074,2.5009,2.052759
"TCEB1",0.15396933,0.0969996,0.05487768,13.8911,13.683021
"PDAP1",-0.04419228,0.420107,0.74101723,9.1079,9.096227
"ZC3H6",1.090196,-0.2241767,0.4606021,5.9455,6.479321
"GLI4",0.58227575,-0.7970165,-0.52278436,4.3049,4.516667
"KIAA1244",0.46317997,-0.1362412,0.67562962,3.4544,3.368842
"CYP2D6",-0.29959414,-1.0652535,-0.71823148,4.064,4.073103
"PCDH24",-0.42259973,-0.7223221,-0.43721407,4.3412,4.569836
"NRSN2",0.02140388,0.1163171,0.21054523,6.2004,6.284641
"UNK",-0.00987894,-0.4623318,-0.62136606,8.4177,8.48207
"GAS2L2",-0.30678806,-0.1447327,0.71889279,3.6971,3.313889
"NNT",1.21952329,1.4343469,0.80158116,6.7596,6.778249
"DTD1",-0.43343354,-0.0072608,0.19726217,11.4687,11.633109
"IGFBP5",0.06797326,0.2775351,0.03676719,3.4886,5.718527
"UBD",1.23255787,-0.5900528,-0.58420376,5.8007,5.408794
"NEBL",0.73544602,1.3496634,1.39935354,3.8075,3.575997
"TAOK3",1.06192485,0.9135013,0.5774396,9.7289,10.057975
"HSPA13",-0.125245,0.4347786,0.5038745,9.3246,9.905481
"PDS5B",-0.15898367,1.1118791,0.98869299,9.4179,9.096917
"ZSWIM3",-0.30283021,0.2827823,0.00984677,6.5543,6.609679
"C20orf43",-0.03284301,0.1091494,-0.02932137,12.0616,12.05787
"TRIOBP",-0.37624658,-0.5490335,0.06295001,4.7851,4.786552
"FUCA2",0.189154,0.4177168,0.52277344,10.8068,10.733596
"ZNF493",0.87306551,0.8891129,1.29642996,8.741,9.915042
"CERK",-0.39680106,0.528411,1.02403441,8.0455,7.428712
"GAL",-0.277442,-0.6930791,-0.66487405,12.0975,11.608366
"ARL6IP6",1.28017538,0.7349267,0.74740966,9.476,9.515947
"PPM2C",-0.01437713,1.6139113,1.07808595,9.5414,9.443981
"SYNE1",-0.32210882,-0.963769,-0.11807759,4.5048,5.206363
"DMRTA1",0.3041339,0.6717425,0.75908365,4.4843,4.837994
"GDF1",-0.82151252,-2.196522,-2.70146218,5.9691,5.909261
"UBN1",0.56171573,0.133103,0.18589437,10.1679,10.216453
"HOXC4",0.43529077,0.1275948,0.22203489,3.4544,2.669062
"FRS3",-0.03727554,-0.9329374,-0.77340954,8.4552,8.406304
"SEP15",0.42086053,0.6707932,0.7426521,13.522,13.385724
"CYP19A1",0.50026218,0.0551533,-1.2335439,2.8733,2.821748
"DUSP22",-0.39463391,0.3315843,0.22420368,7.6653,7.8248
"ESCO2",1.02557933,2.0431929,1.67373726,8.5293,8.096104
"AMPD2",-0.71115769,-1.3200565,-1.24943754,8.2372,7.889025
"SECISBP2",0.39311368,0.2960956,0.12042976,7.6008,7.822893
"GORASP1",-0.22201249,-0.67669,-0.67916741,4.7562,4.824736
"C10orf65",-0.43822867,-0.0186219,0.58818247,3.1907,2.289684
"PTPLAD1",0.43342821,1.86339,1.91638629,12.4447,12.164155
"NOTCH2NL",-0.22370285,1.2439731,1.32000857,6.8882,7.331317
"MYST4",1.16574074,1.394001,1.03109272,5.6487,5.514413
"DLG3",0.2136647,0.1980701,-0.00760152,9.574,9.358169
"IPO4",-1.41856993,-0.3968925,-0.74222177,9.6714,9.0953
"SLC22A14",-0.43282278,-0.6505486,-0.58966921,4.1454,3.890546
"NFE2L1",-0.5981157,-0.2623173,-0.18163864,8.6042,9.637364
"RNASET2",-0.23595398,0.5278765,0.66282418,7.5977,7.049791
"DDX24",-0.08674624,-0.8712798,-0.14912248,7.1128,6.704346
"SASH1",0.7203792,1.4135315,1.17776449,9.4426,9.793525
"ARPM1",-0.02182166,0.881911,0.92391969,6.0991,5.246469
"SCUBE3",-0.66701201,0.2775351,0.25408378,3.674,3.400504
"CYP4X1",-0.81809412,0.2076451,0.98667432,2.8733,2.975039
"SDC1",-0.34808955,-0.5423047,-0.22959292,5.6487,6.107024
"HIST1H1C",-0.300945,-0.2466587,-0.19861083,11.9772,12.437006
"PIK3CA",1.67409287,0.8815572,1.18291829,7.2331,7.26213
"OAS2",1.27853123,-1.8026754,-1.90890585,7.0783,6.330562
"C2orf30",1.28001186,1.1538408,1.40566037,8.3937,8.578878
"IL7",0.24124034,0.3095714,0.41097338,4.048,3.83126
"HECA",0.80313394,0.3616605,0.35261946,9.615,10.039235
"HTR6",-0.23124272,-0.0682856,1.13680268,3.6971,3.706272
"MED17",0.90104542,0.7682677,0.47362103,8.3774,8.603366
"DMP1",-0.41013602,-0.1118805,0.03676719,3.0299,2.052759
"ATP8B2",-0.71941996,-0.7853174,-0.52650486,5.6556,5.766384
"LGSN",-0.47345914,-0.2356252,-0.12702895,2.3199,3.154883
"GPR52",-0.90510786,-0.7254343,-0.32023788,3.4544,3.368842
"NXF5",-1.19894913,-1.4693819,-1.13227224,2.9891,2.821748
"ATG7",-0.75430338,-0.4285523,-0.71422046,8.1275,8.21753
"HEL308",0.60305493,1.3481706,1.32940537,7.4827,6.932084
"PSMC4",-0.40952308,-0.4292641,-0.25133091,10.7364,10.626554
"FAM174A",0.1566533,-1.0695999,-1.03578684,7.8886,7.883878
"TFDP3",0.78878846,1.2466311,0.03676719,5.1124,4.880156
"STRC",0.93566039,-0.0682856,-0.12905127,3.6411,2.052759
"CS",-0.4080861,-0.5626367,-0.44480138,6.3015,6.080258
"OMA1",0.86308012,0.7477294,0.72938351,7.8562,7.774518
"SRXN1",-0.57988488,-0.4736663,-0.26454218,10.1462,10.53898
"CCL23",-0.1821597,-0.5016318,0.58239958,3.8075,3.706272
"PIAS3",0.37753138,-0.0227325,-0.03002923,10.755,10.770268
"ANXA9",0.07005658,1.2130418,1.08961089,8.0951,7.456218
"RFPL4B",-0.06782185,0.2664711,1.2933893,2.8053,7.695494
"RNF133",-0.27129158,-0.3474803,-0.77449603,0.1395,0.314823
"HHIPL2",0.28886788,-2.0179598,-2.52686235,4.4262,4.339804
"SYDE2",-0.30678806,1.7039442,0.57113915,6.2155,6.495595
"SOCS6",0.30390882,1.7634376,1.52707415,8.806,8.151658
"DISC1",0.96718705,-0.3118165,0.23279664,5.0425,4.300218
"RPS27A",-0.24052106,0.8974934,0.75586742,15.2317,15.26104
"FAH",-0.78207231,-0.2300568,-0.32662815,8.1876,8.226153
"GRIK1",-0.69405465,0.1207112,-0.52778534,2.1035,2.821748
"FBXW9",-0.74727708,-0.7086162,-0.9393919,8.4775,8.249048
"RNMTL1",-0.26916682,-1.2309313,-1.52129167,9.4387,9.635913
"CASC5",-0.58453978,0.5420285,1.12701694,9.1805,8.758182
"ANXA3",0.78205218,1.7335395,1.84278386,13.3272,13.446969
"MMP26",-0.45313263,0.1682853,-0.52778534,2.6088,3.102988
"KCMF1",-0.44429853,-0.0026124,0.1011589,11.8555,12.289281
"PLP2",-0.82554024,-0.1142295,-0.09924967,10.8148,10.939941
"CA13",0.62299717,0.7647919,0.74207874,6.5502,6.74711
"CIB2",-0.92275095,-0.0791504,-0.22997954,7.8477,7.772064
"PDCL",-0.03890289,-0.7484256,-0.67716421,9.9708,9.79565
"ARF6",-0.39187965,-0.564598,-0.46300951,8.4923,9.029862
"C19orf62",0.12575536,0.1132653,0.25990894,10.097,10.104601
"RBM34",0.58119376,1.1372783,1.16568819,9.5053,9.593569
"TCF20",0.62178854,-1.0513507,-0.58542566,8.2747,8.389062
"KCNK4",-0.05641247,-0.1054536,-0.56988635,5.2766,4.824736
"PGLYRP4",0.16441037,0.3367512,1.55537595,2.7479,2.912117
"FBXL16",-0.04147529,-0.7536771,-0.61075358,9.6039,9.990511
"KHDRBS1",1.35105839,1.4521328,1.64376491,12.6817,12.19079
"MPP7",-0.7355341,0.7330582,2.05677284,5.3669,5.097623
"DDX3Y",0.07815087,0.7998397,-0.4676307,4.1808,3.972485
"PFKL",-0.26133197,-0.4225201,0.32788687,7.2182,7.294431
