"","DE_Incr_ARHGEF10_cntrl","DE_decr_ARGHEF10_cntrl","FC_incr_ARHGEF10_cntrl","FC_decr_ARGHEF10_cntrl","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval","Symbol","n"
"NOLC1",14196.1,-11067.8,10.2512870641903,0.123314798092613,1534.5,0,15730.6,0,12624.6,0,1556.8,0,"NOLC1",1
"NOM1",2287.25,-1130.15,10.1143654114365,0.173353326262663,250.95,0.42586,2538.2,0,1367.15,0.00345,237,0.13793,"NOM1",2
"NOMO1",5255.1,-8063.3,12.5649207746479,0.241058318587403,454.4,0,5709.5,0,10624.4,0,2561.1,0,"NOMO1",1
"NOMO2",484.5,-1096.4,5.7176241480039,0.0970186130785703,102.7,0.86897,587.2,0,1214.2,0,117.8,0.76897,"NOMO2",1
"NOMO3",10595,-12419.2,6.92230296254891,0.339319913180406,1789,0,12384,0,18797.6,0,6378.4,0,"NOMO3",1
"NONO",15379.2,-13898.1,4.59499292885611,0.254125678221249,4277.95,0,19657.15,0,18633.3,0,4735.2,0,"NONO",2
"NOP10",18501.4,-20400.5,2.97431451118071,0.349249741620201,9371.05,0,27872.45,0,31349.2,0,10948.7,0,"NOP10",2
"NOP14",12152.4,-15293.8,17.4,0.0675194497963564,741,0,12893.4,0,16401.2,0,1107.4,0,"NOP14",1
"NOP16",4651.1,-5133,4.33627429883079,0.296145460529022,1394.1,0,6045.2,0,7292.7,0,2159.7,0,"NOP16",1
"NOP2",4558.475,-4196.075,4.66488452957611,0.170674704152976,1243.825,0.006035,5802.3,0,5059.625,0,863.55,0.006035,"NOP2",4
"NOP56",1041.8,-1146.9,5.58740642888595,0.242670364500792,227.1,0,1268.9,0,1514.4,0,367.5,0,"NOP56",1
"NOP58",9878.4,-14007.4,7.98860983374602,0.168078206849038,1413.5,0,11291.9,0,16837.4,0,2830,0,"NOP58",1
"NOS1",172.2,-186.5,2.6003717472119,0.434505761067314,107.6,0.61724,279.8,0.3931,329.8,0.18621,143.3,0.09655,"NOS1",1
"NOS1AP",204.3,-474.4,2.78272251308901,0.258865802218403,114.6,0.21034,318.9,0.04828,640.1,0,165.7,0.01379,"NOS1AP",1
"NOS2",185.3,-192.2,2.56900931414056,0.412771157959059,118.1,0.11034,303.4,0.13103,327.3,0.20345,135.1,0.24828,"NOS2",1
"NOS2A",177.9,-196.366666666667,2.50592550790068,0.396599405920311,118.133333333333,0.2,296.033333333333,0.340226666666667,325.433333333333,0.241376666666667,129.066666666667,0.40115,"NOS2A",3
"NOS3",901.9,-10463.9,7.64627855563744,0.118873993735053,135.7,0,1037.6,0,11875.6,0,1411.7,0,"NOS3",1
"NOSIP",6107.6,-8634,10.9977082992306,0.172092398860836,610.9,0,6718.5,0,10428.7,0,1794.7,0,"NOSIP",1
"NOSTRIN",119.8,-438.2,1.50188521156263,0.239236111111111,238.7,0,358.5,0.00345,576,0,137.8,0.1931,"NOSTRIN",1
"NOTCH1",2113.8,-1731.1,14.3615676359039,0.101847047836464,158.2,0,2272,0,1927.4,0,196.3,0.00345,"NOTCH1",1
"NOTCH2",3698.75,-3958.45,7.78856566027347,0.100372718801845,544.85,0,4243.6,0,4400.1,0,441.65,0,"NOTCH2",2
"NOTCH2NL",1351.65,-2739.25,6.4272234491066,0.0728078934452587,249.05,0.00517,1600.7,0,2954.35,0,215.1,0.03793,"NOTCH2NL",2
"NOTCH3",4084,-633.4,1.61076465222008,0.256136230182032,6686.7,0,10770.7,0,851.5,0,218.1,0,"NOTCH3",1
"NOTCH4",447.5,-175.2,4.05669398907104,0.428943937418514,146.4,0,593.9,0,306.8,0.4,131.6,0.31034,"NOTCH4",1
"NOTUM",174.4,-186.7,2.50086058519793,0.447633136094675,116.2,0.15172,290.6,0.25517,338,0.12759,151.3,0.04138,"NOTUM",1
"NOV",170.5,-12822.7,2.49561403508772,0.0266218288368986,114,0.23103,284.5,0.33448,13173.4,0,350.7,0,"NOV",1
"NOVA1",153.7,-4275.55,2.35657546337158,0.0438112916391774,113.3,0.336205,267,0.66724,4471.45,0,195.9,0.00345,"NOVA1",2
"NOVA2",1574.5,-437.9,8.29610750695088,0.44038338658147,215.8,0,1790.3,0,782.5,0,344.6,0,"NOVA2",1
"NOX1",164.9,-187.333333333333,2.57547770700637,0.400149428967873,104.666666666667,0.74023,269.566666666667,0.635633333333333,312.3,0.362066666666667,124.966666666667,0.498853333333333,"NOX1",3
"NOX3",182.3,-164.7,2.87551440329218,0.415750266051791,97.2,0.96897,279.5,0.4069,281.9,0.78621,117.2,0.8,"NOX3",1
"NOX4",168.8,-178.45,2.41373534338358,0.443474193045377,119.4,0.37069,288.2,0.398275,320.65,0.43793,142.2,0.11724,"NOX4",2
"NOX5",187.7,-243.5,2.792741165234,0.34805890227577,104.7,0.77931,292.4,0.22414,373.5,0.02414,130,0.33448,"NOX5",1
"NOXA1",3240.4,-669.2,24.2120343839542,0.178694158075601,139.6,0,3380,0,814.8,0,145.6,0.06897,"NOXA1",1
"NOXO1",244.1,-312.833333333333,3.20174383644017,0.324236751152074,110.866666666667,0.420693333333333,354.966666666667,0.06092,462.933333333333,0.0758633333333333,150.1,0.111493333333333,"NOXO1",3
"NP",11481.4,-7753.9,4.75319538426335,0.314620844492765,3059.1,0,14540.5,0,11313.3,0,3559.4,0,"NP",1
"NPAL3",1682.2,-7905.4,8.34906072520751,0.163697528774543,228.9,0,1911.1,0,9452.8,0,1547.4,0,"NPAL3",1
"NPAS1",2466,-329.5,19.0263157894737,0.247029250457038,136.8,0,2602.8,0,437.6,0.01034,108.1,0.97931,"NPAS1",1
"NPAS2",8608.3,-5376.3,10.4265221200175,0.247343590317929,913.2,0,9521.5,0,7143.1,0,1766.8,0,"NPAS2",1
"NPAS3",160.266666666667,-621.066666666667,2.38002296211251,0.239075390018786,116.133333333333,0.228733333333333,276.4,0.502296666666667,816.2,0.0459766666666667,195.133333333333,0.245976666666667,"NPAS3",3
"NPAS4",180,-181.4,2.60857908847185,0.400924702774108,111.9,0.36207,291.9,0.24138,302.8,0.46552,121.4,0.62759,"NPAS4",1
"NPAT",7140.3,-10424.7,5.86694840160862,0.257896422851041,1467.1,0,8607.4,0,14047.5,0,3622.8,0,"NPAT",1
"NPB",157.2,-187.1,2.5071907957814,0.412374371859297,104.3,0.7931,261.5,0.76897,318.4,0.26552,131.3,0.31724,"NPB",1
