"","DE_Incr_ARHGEF10_cntrl","DE_decr_ARGHEF10_cntrl","FC_incr_ARHGEF10_cntrl","FC_decr_ARGHEF10_cntrl","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval","Symbol","n"
"TMEM149",418.9,-380.5,4.89312267657993,0.271212411415438,107.6,0.61724,526.5,0,522.1,0.0069,141.6,0.12069,"TMEM149",1
"TMEM14A",12539.2,-8148.8,40.270905104917,0.0237333620865231,319.3,0,12858.5,0,8346.9,0,198.1,0.00345,"TMEM14A",1
"TMEM14B",21585.8,-20521,3.82156255310249,0.278026984713353,7650.3,0,29236.1,0,28423.5,0,7902.5,0,"TMEM14B",1
"TMEM14C",11007.1,-8324.05,2.56027272985003,0.474349097292826,7054.6,0,18061.7,0,15835.7,0,7511.65,0,"TMEM14C",2
"TMEM14E",160.4,-215.5,2.35130581297388,0.371903235208394,118.7,0.1,279.1,0.41034,343.1,0.1069,127.6,0.3931,"TMEM14E",1
"TMEM150A",10040,-10529.2,15.9493746277546,0.167112278314797,671.6,0,10711.6,0,12641.8,0,2112.6,0,"TMEM150A",1
"TMEM151A",456.1,-1159.96666666667,4.99037620297463,0.11713517353359,114.3,0.35632,570.4,0.202296666666667,1313.86666666667,0.0126433333333333,153.9,0.217243333333333,"TMEM151A",3
"TMEM151B",187.5,-177.4,2.68918918918919,0.408863712095968,111,0.40345,298.5,0.16897,300.1,0.53103,122.7,0.57241,"TMEM151B",1
"TMEM154",227.5,-2469.7,2.42365456821026,0.0665583188449618,159.8,0,387.3,0.06207,2645.8,0,176.1,0.00862,"TMEM154",2
"TMEM155",184.9,-258.1,2.62764084507042,0.326637098878163,113.6,0.24828,298.5,0.16897,383.3,0.01379,125.2,0.48276,"TMEM155",1
"TMEM156",177.95,-1568.75,2.49161777032691,0.0916591876320894,119.3,0.12931,297.25,0.21207,1727.05,0,158.3,0.03448,"TMEM156",2
"TMEM158",13377.9,-18761.3,2.5892017106201,0.494091855335397,8418,0,21795.9,0,37084.4,0,18323.1,0,"TMEM158",1
"TMEM159",4006.3,-8024.3,14.6268707482993,0.112954753982379,294,0,4300.3,0,9046.1,0,1021.8,0,"TMEM159",2
"TMEM160",11759.8,-10696,8.36091637456184,0.142282062179739,1597.6,0,13357.4,0,12470.3,0,1774.3,0,"TMEM160",1
"TMEM161A",8434.4,-4489.7,9.29422755433179,0.139904214559387,1016.9,0,9451.3,0,5220,0,730.3,0,"TMEM161A",1
"TMEM161B",609.1,-747.5,5.21814404432133,0.182613449972663,144.4,0,753.5,0,914.5,0,167,0.01379,"TMEM161B",1
"TMEM163",162.6,-276.5,2.29665071770335,0.292657968789972,125.4,0.01724,288,0.29655,390.9,0.01379,114.4,0.92414,"TMEM163",1
"TMEM164",2705.6,-4422.1,16.1235326998323,0.0711825246796891,178.9,0,2884.5,0,4761,0,338.9,0,"TMEM164",1
"TMEM165",9296.8,-8653.9,2.11213723472977,0.554934401695116,8359.4,0,17656.2,0,19444.1,0,10790.2,0,"TMEM165",1
"TMEM166",-43.5,-11975.3,0.859040829552819,0.0251143782868493,308.6,0,265.1,0.66552,12283.8,0,308.5,0,"TMEM166",1
"TMEM167A",8950.75,-9088.35,3.58069398993758,0.290715188786739,3468.35,0,12419.1,0,12813.4,0,3725.05,0,"TMEM167A",2
"TMEM167B",7937.9,-12564.7,18.472815320273,0.099110919911092,454.3,0,8392.2,0,13947,0,1382.3,0,"TMEM167B",1
"TMEM168",7742.2,-5659.7,12.3024817518248,0.138396663013031,685,0,8427.2,0,6568.8,0,909.1,0,"TMEM168",1
"TMEM169",328.8,-249.5,3.70840197693575,0.347029573410102,121.4,0.03793,450.2,0,382.1,0.01724,132.6,0.28966,"TMEM169",1
"TMEM16A",192.85,-4697.3,2.41023765996344,0.163586182336182,136.75,0.165515,329.6,0.08276,5616,0,918.7,0.00517,"TMEM16A",2
"TMEM16B",187.1,-222.6,2.55527847049044,0.40016168148747,120.3,0.06552,307.4,0.11034,371.1,0.02414,148.5,0.05517,"TMEM16B",1
"TMEM16C",156.9,-201.8,2.49713740458015,0.364209199747952,104.8,0.77931,261.7,0.76207,317.4,0.27931,115.6,0.87586,"TMEM16C",1
"TMEM16D",180.4,-195.4,2.58663148636763,0.40281173594132,113.7,0.24138,294.1,0.19655,327.2,0.20345,131.8,0.3069,"TMEM16D",1
"TMEM17",3933,-6932.8,10.5786653677545,0.133806028424176,410.6,0,4343.6,0,8003.75,0,1070.95,0,"TMEM17",2
"TMEM170A",6490.3,-4877.3,35.0877100840336,0.0384630549641196,190.4,0,6680.7,0,5072.4,0,195.1,0.00345,"TMEM170A",1
"TMEM170B",5478.7,-5689.9,5.27889721961887,0.266926060012626,1280.4,0,6759.1,0,7761.7,0,2071.8,0,"TMEM170B",1
"TMEM171",1955.9,-6859.7,18.6844484629295,0.0244051597855304,110.6,0.42414,2066.5,0,7031.3,0,171.6,0.01034,"TMEM171",1
"TMEM173",5838.3,-4971.2,4.27148940939146,0.797033401789105,1784.6,0,7622.9,0,24492.7,0,19521.5,0,"TMEM173",1
"TMEM174",214.8,-164.1,2.96343692870201,0.427025139664804,109.4,0.5,324.2,0.02069,286.4,0.73793,122.3,0.58621,"TMEM174",1
"TMEM175",1309,-3067.1,11.4385964912281,0.0526039414344845,125.4,0.01724,1434.4,0,3237.4,0,170.3,0.01034,"TMEM175",1
"TMEM176A",176.6,-179.1,2.54912280701754,0.435015772870662,114,0.23103,290.6,0.25517,317,0.27931,137.9,0.1931,"TMEM176A",1
"TMEM176B",-29,-818.7,0.908256880733945,0.473132119183989,316.1,0,287.1,0.30345,1553.9,0,735.2,0,"TMEM176B",1
"TMEM177",3299.7,-3144.2,12.0394780863165,0.130692029085681,298.9,0,3598.6,0,3616.9,0,472.7,0,"TMEM177",1
"TMEM178",572.3,-421.25,3.84443339960239,0.431012359019383,201.2,0,773.5,0,740.35,0,319.1,0,"TMEM178",2
"TMEM179",175.6,-194.4,2.69171483622351,0.401662049861496,103.8,0.81379,279.4,0.4069,324.9,0.21034,130.5,0.32414,"TMEM179",1
"TMEM179B",10197.2,-14728.6,26.1658440276407,0.116990407673861,405.2,0,10602.4,0,16680,0,1951.4,0,"TMEM179B",1
"TMEM18",4649.2,-4415.8,16.6935021097046,0.0694959541469993,296.25,0.243105,4945.45,0,4745.6,0,329.8,0.236205,"TMEM18",2
"TMEM180",3108,-2528.5,24.0734966592428,0.0575847931420052,134.7,0,3242.7,0,2683,0,154.5,0.02759,"TMEM180",1
"TMEM182",1860.3,-1783.5,9.72560975609756,0.096641847743504,213.2,0,2073.5,0,1974.3,0,190.8,0.00345,"TMEM182",1
"TMEM183A",6208.1,-6649.6,10.6616605711618,0.118814767697649,642.55,0,6850.65,0,7546.2,0,896.6,0,"TMEM183A",2
"TMEM183B",1359.9,-2120.1,10.8614938361131,0.0681288734561118,137.9,0,1497.8,0,2275.1,0,155,0.02414,"TMEM183B",1
"TMEM184A",993.1,-190.4,8.10880458124553,0.400881057268722,139.7,0,1132.8,0,317.8,0.27241,127.4,0.4069,"TMEM184A",1
"TMEM184B",1170.1,-4592.9,6.56131178707224,0.170207768744354,210.4,0,1380.5,0,5535,0,942.1,0,"TMEM184B",1
"TMEM184C",3782.2,-5728.3,28.9129151291513,0.0274202859180278,135.5,0,3917.7,0,5889.8,0,161.5,0.01724,"TMEM184C",1
"TMEM185A",6016.6,-9036.5,7.60765471418374,0.217402223992795,910.55,0,6927.15,0,11546.8,0,2510.3,0,"TMEM185A",2
"TMEM185B",10565.05,-7357.35,6.08081658170626,0.240527693046158,2079.4,0,12644.45,0,9687.45,0,2330.1,0,"TMEM185B",2
"TMEM186",1499.4,-3788.7,8.00326950023354,0.190189163193331,214.1,0,1713.5,0,4678.5,0,889.8,0,"TMEM186",1
"TMEM187",6368.4,-10130.7,21.4574365563765,0.0850327848124131,311.3,0,6679.7,0,11072.2,0,941.5,0,"TMEM187",1
"TMEM188",4777.3,-6244,14.8633197910621,0.0842694981374476,344.6,0,5121.9,0,6818.6,0,574.6,0,"TMEM188",1
"TMEM189",4826.55,-5480.9,7.55736702669656,0.356263653660943,736.05,0.051725,5562.6,0,8514.2,0,3033.3,0,"TMEM189",2
"TMEM189-UBE2V1",20117.4,-15954.8,4.07920958780402,0.446724693969553,6533.3,0,26650.7,0,28837,0,12882.2,0,"TMEM189-UBE2V1",1
"TMEM19",2212.3,-3727.85,4.59606631989597,0.271377753454645,615.2,0.001725,2827.5,0,5116.3,0,1388.45,0.006895,"TMEM19",2
"TMEM190",178.9,-145.6,2.47607260726073,0.483687943262411,121.2,0.04483,300.1,0.15517,282,0.78621,136.4,0.21724,"TMEM190",1
"TMEM192",9104.3,-8872.5,12.6215215726321,0.12084699913794,783.4,0,9887.7,0,10092.1,0,1219.6,0,"TMEM192",1
"TMEM194",11244.8,-11150.9,27.9465612269351,0.0403700516351119,417.3,0,11662.1,0,11620,0,469.1,0,"TMEM194",1
"TMEM194A",2468.6,-3031.15,10.4528049013977,0.0752627484479155,261.15,0,2729.75,0,3277.85,0,246.7,0,"TMEM194A",2
"TMEM194B",2448,-7604.7,12.6515944788196,0.0761914017420037,210.1,0,2658.1,0,8231.9,0,627.2,0,"TMEM194B",1
"TMEM195",155.6,-2824.9,2.32877882152007,0.219382115618437,117.1,0.13793,272.7,0.54828,3618.8,0,793.9,0,"TMEM195",1
"TMEM196",149,-215.3,2.41232227488152,0.341388803915571,105.5,0.74483,254.5,0.87931,326.9,0.20345,111.6,0.94828,"TMEM196",1
"TMEM198",1035.4,-3586.7,9.04506604506605,0.0933060316497295,128.7,0.00345,1164.1,0,3955.8,0,369.1,0,"TMEM198",1
"TMEM199",8770.7,-8895.2,10.2323157894737,0.185801502961071,950,0,9720.7,0,10925.1,0,2029.9,0,"TMEM199",1
"TMEM2",4512,-4411.8,10.217568947906,0.269024935796537,489.5,0,5001.5,0,6035.5,0,1623.7,0,"TMEM2",1
"TMEM20",5134.7,-8470.8,14.0587487283825,0.0705625473178332,393.2,0,5527.9,0,9113.9,0,643.1,0,"TMEM20",1
"TMEM200A",184.8,-204.9,2.47250996015936,0.404013961605585,125.5,0.01379,310.3,0.08621,343.8,0.10345,138.9,0.16552,"TMEM200A",1
"TMEM200B",475.7,-366.5,5.05541346973572,0.373397161908018,117.3,0.13793,593,0,584.9,0,218.4,0,"TMEM200B",1
"TMEM200C",160.6,-199.9,2.70851063829787,0.412404467960024,94,0.98966,254.6,0.87586,340.2,0.12069,140.3,0.13793,"TMEM200C",1
"TMEM201",1882.8,-5274.2,10.847280334728,0.0953344768439108,191.2,0,2074,0,5830,0,555.8,0,"TMEM201",2
"TMEM202",164.2,-175.4,2.33171127331711,0.456461109389526,123.3,0.02414,287.5,0.3,322.7,0.22414,147.3,0.05862,"TMEM202",1
"TMEM203",17879.7,-19155.3,8.33676651620845,0.155074765118433,2437,0,20316.7,0,22671,0,3515.7,0,"TMEM203",1
"TMEM204",163.8,-883.5,2.24657534246575,0.280947342719948,131.4,0.00345,295.2,0.18621,1228.7,0,345.2,0,"TMEM204",1
"TMEM205",30032.4,-28885.4,24.1481424387236,0.0666985463510147,1297.4,0,31329.8,0,30949.7,0,2064.3,0,"TMEM205",1
"TMEM206",9773.2,-11249.7,27.1036324786325,0.0379609358965588,374.4,0,10147.6,0,11693.6,0,443.9,0,"TMEM206",1
"TMEM207",157.9,-194.3,2.19349962207105,0.37943149153625,132.3,0,290.2,0.26207,313.1,0.32759,118.8,0.71379,"TMEM207",1
"TMEM208",5934.1,-11504.1,13.5642600042346,0.218890676878577,472.3,0,6406.4,0,14727.9,0,3223.8,0,"TMEM208",1
"TMEM209",19487.6,-15902,3.1313996346972,0.383865505844792,9143.1,0,28630.7,0,25809.3,0,9907.3,0,"TMEM209",1
"TMEM211",170.3,-239.2,2.58566108007449,0.327334083239595,107.4,0.63103,277.7,0.45517,355.6,0.04483,116.4,0.83448,"TMEM211",1
"TMEM214",8671.4,-7097.6,4.7780585569885,0.339684429889848,2295.2,0,10966.6,0,10748.8,0,3651.2,0,"TMEM214",1
"TMEM215",164.4,-151.3,2.58534233365477,0.457511652922194,103.7,0.81724,268.1,0.61379,278.9,0.83793,127.6,0.39655,"TMEM215",1
"TMEM216",6700.7,-7375.3,9.06535869041887,0.132266603917878,830.8,0,7531.5,0,8499.5,0,1124.2,0,"TMEM216",1
"TMEM217",454.3,-626.75,4.73755656108597,0.2092480444108,121.55,0.08448,575.85,0,792.6,0.00345,165.85,0.168965,"TMEM217",2
"TMEM218",4124.6,-9279.2,22.2717895822589,0.0456737938765645,193.9,0,4318.5,0,9723.3,0,444.1,0,"TMEM218",1
"TMEM219",24257.7,-23000.9,4.65194809105143,0.413239353262006,6642.4,0,30900.1,0,39199.8,0,16198.9,0,"TMEM219",1
"TMEM22",11943.5,-15129.3,14.3060383244207,0.121033428999686,897.6,0,12841.1,0,17212.6,0,2083.3,0,"TMEM22",1
"TMEM220",1601.6,-311,12.5722543352601,0.30331541218638,138.4,0,1740,0,446.4,0.01034,135.4,0.24483,"TMEM220",1
"TMEM222",659.8,-2439.5,4.82714617169374,0.215216342287277,172.4,0,832.2,0,3108.5,0,669,0,"TMEM222",1
"TMEM225",145.3,-151.5,2.39443378119002,0.459893048128342,104.2,0.79655,249.5,0.93448,280.5,0.82069,129,0.35517,"TMEM225",1
"TMEM229B",604.6,-1098.7,5.8368,0.154520969603694,125,0.01724,729.6,0,1299.5,0,200.8,0.00345,"TMEM229B",1
"TMEM231",5161.3,-3590.2,16.5180396873121,0.128190184793958,332.6,0,5493.9,0,4118.1,0,527.9,0,"TMEM231",1
"TMEM232",145.2,-191.3,2.3432007400555,0.398616787173845,108.1,0.58621,253.3,0.9069,318.1,0.26897,126.8,0.43448,"TMEM232",1
"TMEM233",118,-403.5,2.02341717259324,0.241826381059752,115.3,0.17241,233.3,0.98276,532.2,0.0069,128.7,0.35862,"TMEM233",1
"TMEM25",160.9,-197.2,2.34757118927973,0.429893032668401,119.4,0.08276,280.3,0.38621,345.9,0.09655,148.7,0.05517,"TMEM25",1
"TMEM26",169.3,-157.3,2.52248201438849,0.452869565217391,111.2,0.4,280.5,0.38276,287.5,0.71379,130.2,0.33103,"TMEM26",1
"TMEM27",252.5,-2488,1.41468221382821,0.311737530775402,608.9,0,861.4,0,3614.9,0,1126.9,0,"TMEM27",1
"TMEM30A",1580.9,-1664.1,11.8802477632484,0.088314249712376,145.3,0,1726.2,0,1825.3,0,161.2,0.01724,"TMEM30A",1
"TMEM30B",123.7,-299,1.72296902396259,0.30787037037037,171.1,0,294.8,0.18966,432,0.01034,133,0.28966,"TMEM30B",1
"TMEM31",375.8,-210.4,3.92223950233281,0.394183702850561,128.6,0.00345,504.4,0,347.3,0.08276,136.9,0.2069,"TMEM31",1
"TMEM33",8147.3,-10434.9,8.58947368421053,0.169010607460262,1073.5,0,9220.8,0,12557.2,0,2122.3,0,"TMEM33",1
"TMEM34",587.2,-1150,5.339985218034,0.154287395205177,135.3,0,722.5,0,1359.8,0,209.8,0,"TMEM34",1
"TMEM35",216.8,-363.1,3.05108798486282,0.320927622966149,105.7,0.74483,322.5,0.02069,534.7,0.0069,171.6,0.01034,"TMEM35",1
"TMEM37",848.7,-302.8,5.9806338028169,0.341166231505657,170.4,0,1019.1,0,459.6,0.01034,156.8,0.01724,"TMEM37",1
"TMEM38A",5964.6,-2713.7,9.67199767374237,0.226844069631613,687.8,0,6652.4,0,3509.9,0,796.2,0,"TMEM38A",1
"TMEM38B",10117.7,-9853.05,6.34409084906906,0.131878394868655,1893.25,0,12010.95,0,11349.85,0,1496.8,0,"TMEM38B",2
"TMEM39A",4381.1,-4497.8,31.5303135888502,0.037553762865641,143.5,0,4524.6,0,4673.3,0,175.5,0.00345,"TMEM39A",1
"TMEM39B",3052.9,-3103.5,6.81837240327806,0.296529682435342,524.7,0,3577.6,0,4411.7,0,1308.2,0,"TMEM39B",1
"TMEM4",11948.8,-12231.8,22.6974759397131,0.0863063224572726,550.7,0,12499.5,0,13387.2,0,1155.4,0,"TMEM4",1
"TMEM40",20488.5,-7466.8,13.1054652880355,0.0973186005464349,1692.5,0,22181,0,8271.8,0,805,0,"TMEM40",1
"TMEM41A",5609.2,-8289.4,18.6946372239748,0.131881826845539,317,0,5926.2,0,9548.7,0,1259.3,0,"TMEM41A",1
"TMEM41B",20508.2,-17746.6,14.0210793650794,0.078141801162543,1575,0,22083.2,0,19250.9,0,1504.3,0,"TMEM41B",1
"TMEM42",9748.1,-9459.5,5.58151995112093,0.337068651360973,2127.7,0,11875.8,0,14269.2,0,4809.7,0,"TMEM42",1
"TMEM43",289.5,-470.1,3.14922048997773,0.272741336633663,134.7,0,424.2,0,646.4,0,176.3,0.00345,"TMEM43",1
"TMEM44",2207.1,-1690.7,11.8032305433186,0.14602485099505,204.3,0,2411.4,0,1979.8,0,289.1,0,"TMEM44",2
"TMEM45A",125.7,-3432.9,1.81649886326729,0.150335371135807,153.95,0.068965,279.65,0.43276,4040.3,0,607.4,0.027585,"TMEM45A",2
"TMEM45B",656.4,-1640.6,2.82790309106099,0.159399497873649,359.1,0,1015.5,0,1951.7,0,311.1,0,"TMEM45B",1
"TMEM47",163.4,-162.3,2.40983606557377,0.472366710013004,115.9,0.15862,279.3,0.4069,307.6,0.37241,145.3,0.07586,"TMEM47",1
"TMEM48",11626.4,-10164.4,3.90340625312157,0.323568362559478,4004.4,0,15630.8,0,15026.5,0,4862.1,0,"TMEM48",1
"TMEM49",30821,-29935.2,6.80367566753286,0.207432373397864,5310.6,0,36131.6,0,37769.9,0,7834.7,0,"TMEM49",1
"TMEM5",13272.9,-12868.9,8.69131366981515,0.15333956156741,1725.7,0,14998.6,0,15199.6,0,2330.7,0,"TMEM5",1
"TMEM50A",5706.6,-7159.8,22.214126394052,0.114828276834063,269,0,5975.6,0,8088.6,0,928.8,0,"TMEM50A",1
"TMEM50B",19714.7,-16994.6,29.0436699857752,0.0480335646786653,703,0,20417.7,0,17852.1,0,857.5,0,"TMEM50B",1
"TMEM51",8776.3,-7965.7,5.62592241197554,0.430015813614019,1897.2,0,10673.5,0,13975.3,0,6009.6,0,"TMEM51",1
"TMEM52",682.2,-260.6,5.05588585017836,0.37535953978907,168.2,0,850.4,0,417.2,0.01034,156.6,0.01724,"TMEM52",1
"TMEM53",535.1,-826.4,5.24009508716323,0.176236044657097,126.2,0.01379,661.3,0,1003.2,0,176.8,0.00345,"TMEM53",1
"TMEM54",11497.3,-9703.6,16.1320084232693,0.143623687229724,759.8,0,12257.1,0,11331,0,1627.4,0,"TMEM54",1
"TMEM55A",2885.3,-3275.4,26.3987676056338,0.0395847994370162,113.6,0.24828,2998.9,0,3410.4,0,135,0.25172,"TMEM55A",1
"TMEM55B",13741.7,-13348,6.5240794339926,0.377622768897924,2487.6,0,16229.3,0,21446.8,0,8098.8,0,"TMEM55B",1
"TMEM56",1192.9,-4255.3,6.32544642857143,0.0328424019273603,224,0,1416.9,0,4399.8,0,144.5,0.08276,"TMEM56",1
"TMEM57",1625,-6088.4,7.69275123558484,0.159525124240751,242.8,0,1867.8,0,7244,0,1155.6,0,"TMEM57",1
"TMEM59",19574.3,-19021.3,6.15099602642036,0.310082552302469,3800.1,0,23374.4,0,27570.4,0,8549.1,0,"TMEM59",1
"TMEM59L",1135.5,-223.3,9.44866071428572,0.421202695697252,134.4,0,1269.9,0,385.8,0.01379,162.5,0.01724,"TMEM59L",1
"TMEM60",15865.2,-17182.7,30.3582531458179,0.0352705365815315,540.4,0,16405.6,0,17810.9,0,628.2,0,"TMEM60",1
"TMEM61",236,-793.4,2.88951160928743,0.282704999547961,124.9,0.01724,360.9,0.00345,1106.1,0,312.7,0,"TMEM61",1
"TMEM62",7768.8,-8181.4,6.42173215158071,0.273739247765222,1432.9,0,9201.7,0,11265.1,0,3083.7,0,"TMEM62",1
"TMEM63A",999.6,-2468.5,5.43872113676732,0.132306935217407,225.2,0,1224.8,0,2844.9,0,376.4,0,"TMEM63A",1
"TMEM63B",7114,-5825.6,6.79268789186548,0.349007688181656,1228.1,0,8342.1,0,8948.8,0,3123.2,0,"TMEM63B",1
"TMEM63C",671.5,-223.2,5.7556657223796,0.34333627537511,141.2,0,812.7,0,339.9,0.12069,116.7,0.81724,"TMEM63C",1
"TMEM64",5005.5,-6922.2,36.2251935256861,0.024121353953731,142.1,0,5147.6,0,7093.3,0,171.1,0.01034,"TMEM64",1
"TMEM65",521.7,-2839.4,5.00999231360492,0.0502726026022678,130.1,0.00345,651.8,0,2989.7,0,150.3,0.05172,"TMEM65",1
"TMEM66",16821,-12197,2.51129359759932,0.526262025999852,11130.2,0,27951.2,0,25746.3,0,13549.3,0,"TMEM66",1
"TMEM67",3014.75,-4481.95,9.03504797441365,0.168014033654783,375.2,0,3389.95,0,5387.05,0,905.1,0,"TMEM67",2
"TMEM68",6096.5,-4657.5,6.77101476713366,0.204553217652685,1056.4,0,7152.9,0,5855.2,0,1197.7,0,"TMEM68",1
"TMEM69",5583.05,-4921.25,3.23603740713299,0.410632271663044,2496.85,0.006895,8079.9,0,8350.05,0,3428.8,0.013795,"TMEM69",2
"TMEM70",3169.1,-2552.55,17.420207253886,0.0784851712124768,193,0,3362.1,0,2769.95,0,217.4,0.00862,"TMEM70",2
"TMEM71",147.5,-251,2.14607614607615,0.353092783505155,128.7,0.00345,276.2,0.47931,388,0.01379,137,0.20345,"TMEM71",1
"TMEM72",190.9,-155.2,2.84801548886738,0.478143913920646,103.3,0.85172,294.2,0.19655,297.4,0.57241,142.2,0.11379,"TMEM72",1
"TMEM74",186.6,-164.7,2.8134110787172,0.42392444910808,102.9,0.86897,289.5,0.26897,285.9,0.74828,121.2,0.62759,"TMEM74",1
"TMEM75",138.6,-198.3,2.33783783783784,0.377979924717691,103.6,0.82069,242.2,0.96897,318.8,0.26207,120.5,0.64138,"TMEM75",1
"TMEM77",7664.5,-7531.4,7.86229743038768,0.151745187921655,1116.9,0,8781.4,0,8878.7,0,1347.3,0,"TMEM77",1
"TMEM79",2653.3,-4674.3,16.5710093896714,0.0606876595060587,170.4,0,2823.7,0,4976.3,0,302,0,"TMEM79",1
"TMEM8",1054.8,-3628.4,7.98543046357616,0.136033526204253,151,0,1205.8,0,4199.7,0,571.3,0,"TMEM8",1
"TMEM80",2240.56666666667,-4362.06666666667,11.8959312692495,0.10827791103358,205.633333333333,0.250573333333333,2446.2,0.0655166666666667,4891.73333333333,0.249426666666667,529.666666666667,0.0747133333333333,"TMEM80",3
"TMEM81",189.8,-167,2.58430717863105,0.455138662316476,119.8,0.07586,309.6,0.08621,306.5,0.4,139.5,0.15517,"TMEM81",1
"TMEM82",188.7,-162.3,2.91185410334346,0.459720372836218,98.7,0.96207,287.4,0.3,300.4,0.52069,138.1,0.17931,"TMEM82",1
"TMEM83",145.3,-179.8,2.33793738489871,0.437421777221527,108.6,0.55517,253.9,0.88966,319.6,0.25172,139.8,0.15172,"TMEM83",1
"TMEM85",7263.5,-5965.2,2.06166686155285,0.603256315096373,6841.6,0,14105.1,0,15035.4,0,9070.2,0,"TMEM85",1
"TMEM86A",986.2,-1540.3,6.22075172048703,0.108209819360815,188.9,0,1175.1,0,1727.2,0,186.9,0.00345,"TMEM86A",1
"TMEM86B",1603.8,-1031.3,11.1958041958042,0.154602836298057,157.3,0,1761.1,0,1219.9,0,188.6,0.00345,"TMEM86B",1
"TMEM87A",9808.6,-11448.4,5.93762899572112,0.247553385168486,1986.5,0,11795.1,0,15214.9,0,3766.5,0,"TMEM87A",1
"TMEM87B",9702.3,-9986.6,11.7731512325117,0.204571883711669,900.6,0,10602.9,0,12555,0,2568.4,0,"TMEM87B",1
"TMEM88",1778.3,-267.6,11.4852594339623,0.301305483028721,169.6,0,1947.9,0,383,0.01724,115.4,0.88276,"TMEM88",1
"TMEM89",221.2,-204.4,2.91681109185442,0.368355995055624,115.4,0.17241,336.6,0.01379,323.6,0.21379,119.2,0.6931,"TMEM89",1
"TMEM8B",371.4,-773.5,3.96408619313647,0.151864035087719,125.3,0.01724,496.7,0,912,0,138.5,0.17241,"TMEM8B",1
"TMEM9",3714.8,-5729.5,5.29506301306509,0.284376053857587,864.9,0,4579.7,0,8006.3,0,2276.8,0,"TMEM9",1
"TMEM90A",173.6,-144.8,2.64549763033175,0.498267498267498,105.5,0.74483,279.1,0.4069,288.6,0.71034,143.8,0.0931,"TMEM90A",1
"TMEM90B",158.4,-195.1,2.56367226061204,0.401717264642748,101.3,0.90345,259.7,0.81379,326.1,0.20345,131,0.32069,"TMEM90B",1
"TMEM91",606.3,-485.9,5.56207674943567,0.259637360962974,132.9,0,739.2,0,656.3,0,170.4,0.01034,"TMEM91",1
"TMEM92",194,-504.8,2.80297397769517,0.230487804878049,107.6,0.61724,301.6,0.14138,656,0,151.2,0.04483,"TMEM92",1
"TMEM93",8757.46666666667,-7975.46666666667,6.44189900161564,0.194389168914164,1609.26666666667,0.00689666666666667,10366.7333333333,0,9899.9,0,1924.43333333333,0.0137933333333333,"TMEM93",3
"TMEM95",185.7,-166.8,2.64627659574468,0.411640211640212,112.8,0.2931,298.5,0.16897,283.5,0.77931,116.7,0.81724,"TMEM95",1
"TMEM97",11751.4,-8817.4,5.30690855781565,0.175095892974086,2728.5,0,14479.9,0,10689,0,1871.6,0,"TMEM97",1
"TMEM98",152.75,-155.75,2.17094672288233,0.49349593495935,130.45,0.086205,283.2,0.37586,307.5,0.40862,151.75,0.039655,"TMEM98",2
"TMEM99",5367.1,-7453.5,8.34012582056893,0.12154676598152,731.2,0,6098.3,0,8484.8,0,1031.3,0,"TMEM99",1
"TMEM9B",8479.1,-8434.2,5.116667475846,0.394829553200497,2059.7,0,10538.8,0,13936.9,0,5502.7,0,"TMEM9B",1
"TMF1",11783.9,-14981.1,13.3793465700179,0.101205903527718,951.9,0,12735.8,0,16668,0,1686.9,0,"TMF1",1
"TMIE",178.8,-215.3,2.74780058651026,0.379538904899135,102.3,0.88276,281.1,0.37931,347,0.08276,131.7,0.31034,"TMIE",1
"TMIGD1",162,-193.3,2.3893653516295,0.388678051865908,116.6,0.15172,278.6,0.42069,316.2,0.28966,122.9,0.56552,"TMIGD1",1
"TMIGD2",168.4,-175.3,2.50089126559715,0.402318445277872,112.2,0.32414,280.6,0.38276,293.3,0.63448,118,0.75517,"TMIGD2",1
"TMLHE",5687.45,-6780.4,16.4445349626612,0.0974749424308171,368.25,0,6055.7,0,7512.7,0,732.3,0,"TMLHE",2
"TMOD1",3280.2,-7396.5,19.9716599190283,0.119411869754152,172.9,0,3453.1,0,8399.5,0,1003,0,"TMOD1",1
"TMOD2",484.033333333333,-987.566666666667,4.49314409429877,0.202782337270942,138.566666666667,0.14253,622.6,0.00115,1238.76666666667,0.00344666666666667,251.2,0.188506666666667,"TMOD2",3
"TMOD3",2932.95,-3864.95,4.60401818628656,0.351480372169507,813.8,0,3746.75,0,5959.65,0,2094.7,0,"TMOD3",2
"TMOD4",189.5,-249.2,2.63080895008606,0.359876701772412,116.2,0.15517,305.7,0.11724,389.3,0.01379,140.1,0.14138,"TMOD4",1
"TMPO",9353.93333333333,-8735.2,8.16063180994667,0.105946572958957,1306.3,0,10660.2333333333,0,9770.33333333333,0,1035.13333333333,0,"TMPO",3
"TMPRSS11A",167.4,-211.2,2.59276879162702,0.401190813722711,105.1,0.75862,272.5,0.54828,352.7,0.05517,141.5,0.12069,"TMPRSS11A",1
"TMPRSS11B",183.4,-224,2.73182247403211,0.324894514767932,105.9,0.73103,289.3,0.27241,331.8,0.16552,107.8,0.98276,"TMPRSS11B",1
