"GSM4027437","GSM4027439","GSM4027441","GSM4027442","GSM4027444","GSM4027446","Symbol"
-11.5,-8.1,-22.4,-23.3,4.9,-8.7,"CCM2"
23,10.4,-2.4,-1.5,7,19.9,"LOC642113"
26.8,-10.9,30.3,10.4,-10.2,-1.6,"LOC645785"
10.4,-0.9,-14.9,1.9,-20,-5.7,"LOC642628"
15508.4,17891.3,12566.7,12709.7,21261,22005.2,"COX4I1"
57.6,52.3,79.5,116.7,-3.1,-1.1,"LOC731432"
431.3,380,384.6,408.3,955.4,891.5,"LOC644310"
10.6,5.9,11.2,3.7,2.7,4.5,"LOC440080"
12.5,8.5,-6.6,10.7,11.3,2.3,"C20orf112"
35.9,42.4,57,96,122.6,52.2,"WDR91"
21489.2,22361.4,24613.3,24217,22111,19702.8,"LOC647361"
15.6,-3.2,8,2.5,3.4,-8,"LOC732313"
481.7,445.6,144.1,121.8,486.9,565,"CBR3"
11.4,25.9,15.2,9.1,105.2,54.9,"LOC643206"
-6.1,18.1,0.8,-3.4,-2.7,-10.6,"FLJ32784"
94.3,98.3,-25.4,-8.1,-1.7,3.7,"POPDC3"
-12.6,14.6,0,7,-1.8,3.9,"KIAA0363"
-4.2,11.6,15.2,22.2,-6.6,-9.7,"LOC653319"
12.3,8,8.1,7.5,6.1,11.5,"PPP2R4"
-0.7,6.5,11.2,-2.9,12.3,-4,"LOC643125"
2.8,5.3,3.3,9.6,-0.4,8.6,"LOC644311"
5.5,6.9,1.2,10.6,3.3,11.9,"MAGEA3"
11.1,7.7,21.9,28,33.4,28.6,"SECTM1"
53.5,47.1,6.3,45.6,80.8,73.3,"FBXO32"
10.4,-9.7,13.5,18,-8.9,7.6,"PRM3"
-7,7.3,3.3,-5.8,0.8,-4.9,"NOG"
3.1,9.8,-11.6,-6.1,11,3.7,"EVX2"
-4.4,0.4,32.2,26.2,1,10.1,"LOC642468"
4.7,6.8,10.8,11.4,-3.9,9.7,"ZNF507"
14.3,47.8,97.5,16.7,66.2,72.6,"MEGF10"
34.4,32.8,38.8,26.9,6.5,19.7,"TTC8"
103.6,101.5,86,46.2,208.8,166.4,"RNF215"
26.6,30.1,5.5,-0.9,7.3,11.4,"SPAG1"
13.7,6.8,10.3,-5.7,16.2,18.9,"LOC642528"
97.4,56.3,208.3,215.7,158.3,161.6,"KCTD5"
975.4,1017.9,723.7,806,1451.9,1527.8,"FN3KRP"
-11.6,-11.5,-2.6,2.3,-6.9,7.3,"LOC649143"
3,-3.9,1.7,-3.6,4.8,-7.6,"LOC652735"
14.7,23.1,32.4,18.6,105,-7.4,"C4orf50"
1052.3,791.9,564.7,516.7,230.6,297.8,"PDHX"
-8.1,-18.8,5.1,3.7,-12.1,-4.4,"LOC127602"
-9,-9,-12.3,-17.1,-17.2,-0.5,"NLRP7"
-3,-5.1,-12.7,8.7,-25.7,40.6,"LOC647247"
9.7,30.9,33.9,41.1,93.2,29.3,"ERCC1"
61.8,83.4,-16.4,-2.6,-15.9,-9.5,"KIAA1324L"
-4.7,-8.6,-20.3,-20,0.3,-16,"IFNA17"
275.4,389,571.6,639.3,4.6,-1,"IPO7"
1243,1150.2,617.9,572.8,198.6,177.7,"SUCLG2"
10.8,9.9,6.3,4.3,18.4,56.2,"SIGLEC5"
-6.8,-11,8.5,4,21,14.5,"DCHS2"
767.6,710.3,912.8,880.6,749.5,676.1,"RAB2A"
-17,-23.1,-20.7,-15.7,-29.1,-19.7,"TRPT1"
77.5,63.2,124.2,127,69.4,63,"ZMYND8"
212.3,192.2,51.5,56.2,-0.2,-5.4,"SPATA7"
60.4,70.7,40.3,38,19.8,-16,"PHKB"
