ID_REF	MiaPACA2_EV	MiaPACA2_EV.Detection_Pval	MiaPACA2_ARHGEF10	MiaPACA2_ARHGEF10.Detection_Pval	Hs766T_shGFP	Hs766T_shGFP.Detection_Pval	Hs766T_shARHGEF10	Hs766T_shARHGEF10.Detection_Pval	
ILMN_1666885	328.2	0	3671.5	0	3627.6	0	447.7	0	
ILMN_1779374	436.5	0	8290.5	0	9492.7	0	552.3	0	
ILMN_1708790	115.7	0.16552	254.6	0.87586	317.6	0.27931	119.9	0.66897	
ILMN_2234709	180.9	0	3428.6	0	3115.1	0	263.9	0	
ILMN_1686227	133.9	0	284.4	0.33448	5514.1	0	459.1	0	
ILMN_1809905	113.7	0.24138	295	0.18966	292.1	0.64138	163	0.01724	
ILMN_3308330	126.3	0.01379	495.2	0	627.9	0	124.9	0.4931	
ILMN_1733562	362.3	0	11027.9	0	13217.9	0	497.8	0	
ILMN_3248928	619.4	0	3939.5	0	5898.3	0	1260	0	
ILMN_1689257	298.3	0	2533.6	0	5708.2	0	941.1	0	
ILMN_1734543	131.8	0	991.7	0	8888	0	765.8	0	
ILMN_1800091	199.5	0	332.2	0.01724	5269.3	0	252.6	0	
ILMN_2096012	2366.7	0	21193.4	0	23130.7	0	2836.6	0	
ILMN_1776267	142.8	0	2344.8	0	4587.8	0	207.6	0	
ILMN_1658926	6686.7	0	10770.7	0	851.5	0	218.1	0	
ILMN_3243924	384.3	0	8600.8	0	1271.9	0	134.4	0.26207	
ILMN_2164152	114.4	0.21724	253.5	0.9	304	0.43103	118.4	0.73448	
ILMN_1656316	125.2	0.01724	630.1	0	453.3	0.01034	128.5	0.36207	
ILMN_2399694	102.7	0.86897	587.2	0	1214.2	0	117.8	0.76897	
ILMN_1810684	120.9	0.04828	265	0.66552	379.2	0.01724	143.4	0.09655	
ILMN_1671207	9732.6	0	28135.1	0	27475.3	0	10313	0	
ILMN_1766551	221.7	0	306.7	0.11724	307.3	0.37931	141.7	0.12069	
ILMN_1682233	156.1	0	3183.8	0	2529.7	0	145.5	0.06897	
ILMN_1731742	138.5	0	1146.2	0	581.4	0	149.4	0.05517	
ILMN_3308385	113.3	0.26897	342.5	0.01379	396.8	0.01379	134.7	0.25862	
ILMN_2392274	138.9	0	1820.6	0	4254.8	0	334.7	0	
ILMN_2263054	176.8	0	754.5	0	1383.7	0	505.1	0	
ILMN_1655867	488.1	0	7554.3	0	828	0	130.9	0.32414	
ILMN_2218002	225.2	0	5845.1	0	1221.2	0	139.3	0.15517	
ILMN_1684032	115.7	0.16207	370.6	0.00345	652.8	0	176	0.00345	
ILMN_2220187	215.2	0	3907.9	0	7638.4	0	248.8	0	
ILMN_2045729	4325.3	0	18012.2	0	18705	0	8562.4	0	
ILMN_3249739	110.2	0.47241	299	0.16897	376.2	0.02414	131.4	0.31379	
ILMN_1790885	106.5	0.68966	270.6	0.57931	313.7	0.32414	127	0.42759	
ILMN_1742789	361.6	0	5765.9	0	7286.8	0	327.6	0	
ILMN_1765986	109.7	0.48966	261.2	0.78276	333	0.15172	118.6	0.72759	
ILMN_3239164	0	26	0	29	0	23	2350110	16	S
ILMN_1770344	111.1	0.4	500	0	557.6	0.00345	121.6	0.62414	
ILMN_1710161	107.5	0.62069	285.5	0.32759	441	0.01034	109.1	0.97241	
ILMN_1679051	115.8	0.16207	316.6	0.05517	3092.9	0	581.2	0	
ILMN_3237912	108.2	0.58621	272.1	0.55517	312.3	0.32759	129.4	0.34828	
ILMN_1732630	103.5	0.82759	292.4	0.22414	276.8	0.84483	116.2	0.85862	
ILMN_2324734	121.8	0.03103	257.2	0.85517	275.4	0.87586	157.2	0.01724	
ILMN_2182148	112.6	0.3	713.5	0	312.7	0.32759	126	0.45862	
ILMN_3235467	128.8	0.00345	257.2	0.85517	377.6	0.01724	125	0.4931	
ILMN_3247848	284.5	0	3817.8	0	5724.6	0	455.1	0	
ILMN_2171733	108.7	0.54828	250	0.93448	322.8	0.22069	136.3	0.22414	
ILMN_1654583	1882.1	0	7203.1	0	7208	0	2080.5	0	
ILMN_1804283	103.4	0.83793	294.4	0.1931	299.9	0.53103	132.3	0.29655	
ILMN_1725314	365.3	0	1426.8	0	16636.1	0	2788.2	0	
ILMN_1791149	256.4	0	4150.4	0	6148	0	863.8	0	
ILMN_1760802	2181.8	0	9189.2	0	9583.3	0	3344.9	0	
ILMN_1721354	111.8	0.36552	268.5	0.6069	324.8	0.21034	149.8	0.05517	
