"GSM1583284","GSM1583285","GSM1583286","GSM1583287","GSM1583288","GENE_SYMBOL"
8.434255,8.156787,8.788855,7.5010533,9.398227,"UBTF"
4.687236,5.0171456,4.829857,2.4029229,4.440178,"ZNF791"
10.468084,10.164528,11.279121,11.071802,11.188349,"ZNF92"
3.7361593,4.110369,3.5341277,2.4029229,3.2999988,"OGDH"
2.332352,2.3459494,2.4501286,2.4029229,2.3246098,"GPR111"
6.99725,6.501468,6.0929217,6.908635,6.591539,"PDK4"
7.2878313,6.819704,7.904242,4.446975,7.697235,"PIK3CD"
4.981013,4.6685033,4.824505,4.424371,5.282822,"C19orf47"
4.138235,3.8332894,4.049424,5.138915,2.4563255,"FKSG83"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"BUTR1"
5.5202775,5.266332,7.2498345,5.312235,6.9273944,"ZNF805"
2.912677,2.3459494,2.8160434,2.4029229,5.142374,"DUOXA2"
3.9199555,3.5595276,2.8912778,2.4029229,4.0654097,"RNASE3"
3.2001374,4.6883373,4.027958,4.698253,3.3614085,"C8orf83"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"UTP23"
3.4183576,3.4733489,4.179845,3.0033252,2.9783306,"ZNF718"
9.274826,8.917977,9.594492,8.478559,9.98479,"SLC27A2"
5.884351,5.4968805,5.860822,5.456078,5.7472496,"MCOLN3"
3.5026264,3.7011826,3.417387,2.4029229,3.7383096,"ZNF408"
9.032374,9.816629,8.749672,11.122062,8.143659,"PXDN"
8.565304,9.224512,7.840761,9.537506,7.1577034,"CDA"
3.9903274,3.0742598,2.8695948,4.2600183,3.8780162,"BCL7C"
7.3972135,7.2298355,7.1583014,8.632078,7.099837,"EPS8L1"
2.5747802,2.3459494,2.5777283,3.3854825,2.940289,"C10orf128"
3.0020432,3.0212579,4.402711,4.094122,4.057338,"LOC650293"
11.061903,11.401247,9.933596,11.044785,10.194875,"ANP32B"
7.346489,7.3075743,8.0407,7.259958,7.988639,"C11orf58"
2.332352,4.027958,2.3265,4.5762134,7.180018,"LOC100128869"
8.369943,8.855757,7.3511105,8.328999,6.2133865,"PSMF1"
9.2965,8.879162,9.448386,8.610204,10.172364,"VEZT"
7.822164,7.3664947,8.478193,7.4934797,8.799411,"HTATIP2"
9.652791,10.232651,9.182054,10.453907,9.02551,"HNRPDL"
6.039724,5.838769,5.704211,6.4555855,6.1558967,"TRPM6"
2.718688,2.838862,2.5653992,2.4029229,2.720929,"GOLGA6L10"
5.8667617,5.443228,5.18322,5.673859,5.5836186,"C3orf27"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"ATP8B5P"
