"","GENE_SYMBOL","UL_mean","nonUL_mean","DE_UL","Magnitude","FoldChange_UL"
"TXN","TXN",1068.87357142857,1695.47843137255,-626.604859943978,626.604859943978,0.630425932675109
"C19orf73","C19orf73",571.6,1195.16078431373,-623.560784313725,623.560784313725,0.478262010854227
"CCL2","CCL2",112.278571428571,734.160784313726,-621.882212885154,621.882212885154,0.152934580309307
"HEBP2","HEBP2",483.420714285714,1104.48725490196,-621.066540616247,621.066540616247,0.437687906438201
"EID1","EID1",1872.7169047619,2492.7045751634,-619.987670401494,619.987670401494,0.751279122051253
"HADH","HADH",1324.84214285714,706.324509803922,618.517633053221,618.517633053221,1.87568479426676
"RPS21","RPS21",6938.04571428571,7550.75588235294,-612.710168067227,612.710168067227,0.918854459392707
"SGK1","SGK1",419.635714285714,1030.72549019608,-611.089775910364,611.089775910364,0.40712655142145
"ATP5H","ATP5H",1770.93642857143,2381.2568627451,-610.32043417367,610.32043417367,0.743698194125057
"SRPX","SRPX",402.392857142857,1010.12156862745,-607.728711484594,607.728711484594,0.398360820757077
"RRAGA","RRAGA",1542.9,2144.7431372549,-601.843137254902,601.843137254902,0.719386845538431
"HTR2B","HTR2B",921.242857142857,320.066666666667,601.17619047619,601.17619047619,2.87828428601184
"TGFB1I1","TGFB1I1",2888.74428571429,2291.08823529412,597.656050420168,597.656050420168,1.26086121049958
"HSPB8","HSPB8",1481.33357142857,884.55,596.783571428572,596.783571428572,1.67467477409821
"FAP","FAP",610.17,1201.86078431373,-591.690784313725,591.690784313725,0.507687752162087
"SOX4","SOX4",1190.33542857143,599.247581699346,591.087846872082,591.087846872082,1.98638336628056
"S100A13","S100A13",718.053571428571,1305.91960784314,-587.866036414566,587.866036414566,0.549845156712602
"RABAC1","RABAC1",2585.73285714286,3172.34509803922,-586.612240896359,586.612240896359,0.815085615603758
"CD97","CD97",2497.30785714286,1910.76568627451,586.542170868348,586.542170868348,1.30696708397143
"HSPA2","HSPA2",680.621428571429,1264.8,-584.178571428571,584.178571428571,0.538125734164634
"SAT1","SAT1",1581.37880952381,2164.95359477124,-583.574785247432,583.574785247432,0.730444667887168
"CACNA1I","CACNA1I",694.302619047619,1277.75326797386,-583.450648926237,583.450648926237,0.543377689926458
"CFD","CFD",137.36,720.552941176471,-583.192941176471,583.192941176471,0.190631377863405
"SLC25A6","SLC25A6",2851.97642857143,2271.54509803922,580.431330532213,580.431330532213,1.25552269731877
"RPS17","RPS17",11678.5173809524,12254.8866013072,-576.369220354807,576.369220354807,0.952968212672542
"PRL","PRL",641.112857142857,65.121568627451,575.991288515406,575.991288515406,9.84486201200942
"ITGAV","ITGAV",2116.65357142857,1541.40980392157,575.243767507003,575.243767507003,1.37319327153849
"SNAI2","SNAI2",1341.56,767.637254901961,573.922745098039,573.922745098039,1.74764837354245
"C11orf10","C11orf10",3195.63571428571,2622.19607843137,573.439635854342,573.439635854342,1.2186867872205
"ALDH2","ALDH2",1166.72571428571,1739.62941176471,-572.903697478992,572.903697478992,0.670674861206309
"CBX7","CBX7",588.973571428571,1159.95784313725,-570.984271708684,570.984271708684,0.507754290307326
"MGST3","MGST3",1506.9919047619,2073.89607843137,-566.904173669468,566.904173669468,0.726647743073868
"GPNMB","GPNMB",984.462857142857,1551.15,-566.687142857143,566.687142857143,0.634666445632503
"VCAN","VCAN",1105.36828571429,539.539607843137,565.828677871149,565.828677871149,2.04872500488539
"COX6A2","COX6A2",762.925714285714,1327.64509803922,-564.719383753501,564.719383753501,0.574645826217012
"CKB","CKB",1573.91071428571,2138.02549019608,-564.114775910364,564.114775910364,0.736151519943462
"MYLK","MYLK",8361.84771428571,8923.40431372549,-561.556599439777,561.556599439777,0.937069241771773
"MOXD1","MOXD1",1026.85523809524,1586.9862745098,-560.131036414566,560.131036414566,0.647047334049831
"SNRPD2","SNRPD2",3028.20714285714,2470.9431372549,557.264005602241,557.264005602241,1.22552684325279
"GPI","GPI",1198.23571428571,643.843137254902,554.392577030812,554.392577030812,1.8610677740459
"FBXL7","FBXL7",1197.37928571429,644.885294117647,552.493991596639,552.493991596639,1.85673219196692
"ANXA5","ANXA5",2625.81857142857,3177.29215686275,-551.473585434174,551.473585434174,0.826432837080143
"GPR153","GPR153",1166.76214285714,1716.30392156863,-549.541778711485,549.541778711485,0.679810917049451
"CTNNAL1","CTNNAL1",551.377142857143,1099.47450980392,-548.097366946779,548.097366946779,0.501491519758357
"EIF4A3","EIF4A3",1107.61285714286,560.06862745098,547.544229691877,547.544229691877,1.9776377444741
"PDE8B","PDE8B",1136.90714285714,590.844444444444,546.062698412698,546.062698412698,1.92420721485525
"HCFC1R1","HCFC1R1",811.869285714286,1356.05980392157,-544.190518207283,544.190518207283,0.598697257574078
"BLVRA","BLVRA",543.000214285714,1086.04470588235,-543.044491596639,543.044491596639,0.499979615336882
"CST3","CST3",881.58,1424.04509803922,-542.465098039215,542.465098039215,0.61906747280255
"CLDN5","CLDN5",308.589285714286,849.344117647059,-540.754831932773,540.754831932773,0.363326570824052
"SQRDL","SQRDL",478.545714285714,1018.85294117647,-540.307226890756,540.307226890756,0.469690663829401
"CLU","CLU",1999.20619047619,2539.01388888889,-539.807698412699,539.807698412699,0.787394743772383
"PPIB","PPIB",2072.44571428571,1534.79019607843,537.655518207283,537.655518207283,1.3503120619229
"THBD","THBD",209.492142857143,746.230065359477,-536.737922502334,536.737922502334,0.280733988862035
"RPS7","RPS7",6872.65952380952,6339.28562091503,533.373902894491,533.373902894491,1.08413785634374
"XRCC6","XRCC6",1513.03928571429,980.245098039216,532.79418767507,532.79418767507,1.54353160116875
"RPL36","RPL36",4974.19428571429,4441.82745098039,532.366834733893,532.366834733893,1.11985311014646
"QSOX1","QSOX1",240.721428571429,773.078431372549,-532.357002801121,532.357002801121,0.311380344868818
"HEBP1","HEBP1",753.564285714286,1284.15098039216,-530.586694677871,530.586694677871,0.586819071293439
"TPM1","TPM1",4269.90488095238,4800.39803921569,-530.493158263306,530.493158263306,0.889489756072398
