"GENE_SYMBOL","UL_mean","nonUL_mean","pancreaticMeans","sebumMeans","gliomaMeans"
"GAPDH",5668.61523809524,5159.13725490196,13694.4,14.6644,13.5492666666667
"GAPDHS",9.64428571428572,13.2686274509804,113.35,3.2657,6.29741666666667
"GAPVD1",191.777857142857,190.739379084967,3997,11.652,9.55798333333333
"GAR1",470.257142857143,457.98431372549,3030.2,12.7138,8.36666666666667
"GARS",504.844285714286,448.147058823529,7129,9.6616,12.6805333333333
"GART",73.9577142857143,79.8966013071895,4474.83333333333,6.7156,10.1431066666667
"GAS1",1521.22928571429,1939.51470588235,1427.2,5.1343,8.86092333333333
"GAS2",22.3478571428571,20.4578431372549,108.55,2.6756,5.203
"GAS2L1",133.346904761905,234.087908496732,274.6,12.4545,8.42926
"GAS6",1037.07571428571,1203.52254901961,187.166666666667,8.0052,6.94656666666667
"GAS8",68.0264285714286,67.2372549019608,293.5,7.2429,8.03982
"GAST",33.2157142857143,51.2862745098039,114,7.4481,7.09625333333333
"GATA1",18.0935714285714,16.5882352941176,110.8,3.8998,7.3615
"GATA2",94.7328571428571,160.209477124183,216.4,5.6134,7.12061666666667
"GATA3",15.0542857142857,16.8771241830065,112.5,7.5271,6.47339666666667
"GATA4",14.445,12.8837254901961,143.1,3.2249,7.00977
"GATA6",680.301428571429,454.783333333333,122.2,9.0166,7.85888666666667
"GATAD1",175.72369047619,176.135620915033,590,7.9174,9.69008333333333
"GATAD2A",147.57119047619,140.006535947712,3103.4,8.5137,10.7526666666667
"GATC",122.877142857143,102.615359477124,645.4,8.5293,10.8834
"GATM",67.1204081632653,96.4861344537815,140,7.1499,10.87298
"GBA3",13.1542857142857,15.0196078431373,117.05,3.6411,5.49167333333333
"GBAS",769.322857142857,571.017647058824,928.9,8.6665,11.3568
"GBE1",624.268571428571,760.621568627451,2930.5,10.4764,9.57764333333333
"GBF1",197.692857142857,233.549019607843,188.6,10.758,9.5245
"GBP1",275.3125,336.342647058824,263.55,8.6487,8.24388
"GBP2",250.967857142857,314.912745098039,585.9,5.7123,6.57673666666667
"GBX1",7.66857142857143,7.6,118.2,3.3128,6.86338666666667
"GBX2",5.55571428571429,4.79803921568627,582.4,4.5574,8.63152333333333
"GC",6.52714285714286,7.60196078431373,112.5,3.3886,4.58273333333333
"GCA",140.824285714286,174.766666666667,161.3,8.7124,6.77763333333333
"GCAT",65.7078571428571,51.3725490196078,409.7,7.9715,8.17413333333333
"GCC1",108.266904761905,123.485294117647,152.3,7.6167,9.05789333333333
"GCC2",159.301428571429,203.963725490196,208.733333333333,6.1664,8.95646333333333
"GCDH",96.3057142857143,107.506862745098,282.5,9.1968,8.80009333333333
"GCH1",39.9278571428571,61.7009803921569,143.7,4.4518,7.12366333333333
"GCHFR",34.6028571428571,40.9764705882353,205.8,8.6272,7.61096666666667
"GCK",13.0328571428571,12.8156862745098,103.933333333333,3.8263,7.05737333333333
"GCKR",16.3042857142857,18.7137254901961,111.1,3.2657,5.94314
"GCLC",168.278095238095,166.788888888889,448,8.8745,9.73194333333333
"GCLM",78.1790476190476,64.4166666666667,8869.55,9.8068,8.52078333333333
"GCM1",14.8271428571429,17.4686274509804,117.2,4.3944,5.70560333333333
"GCM2",8.28714285714286,9.52352941176471,106.2,3.877,6.02109
"GCN1L1",716.375,677.636274509804,2437.1,12.4822,9.58459666666667
"GCNT3",12.7564285714286,22.3852941176471,605.8,2.8733,6.62894
"GDAP1",61.8747619047619,47.4065359477124,138.2,4.2898,9.1981
"GDE1",254.861428571429,256.649019607843,1076.8,10.0526,9.31638
"GDF10",51.3864285714286,39.6166666666667,111.2,3.4544,7.48318333333333
"GDF11",37.6738095238095,34.8275816993464,145.3,7.6556,8.81781
"GDF15",253.852142857143,56.9091503267974,184.6,13.4483,12.4705
"GDF2",24.4942857142857,24.4313725490196,110.9,3.1907,7.04345
"GDF3",23.4628571428571,26.543137254902,103.7,3.4231,5.00393333333333
"GDF5",38.3814285714286,22.3490196078431,198.8,5.5597,6.21482
"GDF9",30.3814285714286,32.1196078431373,105.5,5.1967,6.88211333333333
"GDI1",738.602857142857,810.4,535.4,10.2322,13.0632
"GDI2",1405.93642857143,1183.49411764706,4471.8,10.6641,12.0073666666667
"GDNF",65.9753571428571,125.686274509804,111.8,3.3128,8.26671
"GDPD2",14.6271428571429,18.156862745098,115,3.2657,6.96320666666667
"GDPD3",84.2242857142857,90.043137254902,113.9,8.4303,6.82283666666667
"GEM",1596.39285714286,1600.66666666667,854.55,5.5488,9.76360666666667
"GEMIN4",134.105,136.03137254902,471.3,10.9109,8.58670333333333
"GEMIN6",221.952142857143,196.386274509804,1403.5,11.5704,7.69055666666667
"GEMIN7",98.5428571428572,90.1653594771242,107.3,9.5208,8.29922
"GFAP",11.1095238095238,9.18267973856209,108.8,2.7479,10.2700066666667
"GFER",39.6735714285714,45.2794117647059,110.6,7.6763,8.02562333333333
"GFI1",7.06142857142857,7.63137254901961,217.3,6.2968,6.59311
"GFI1B",10.5257142857143,9.88039215686275,117.9,4.9127,7.70606
"GFM1",128.036666666667,124.956862745098,3584.3,10.3594,9.21982
"GFOD1",95.0290476190476,148.878104575163,619.5,9.9533,7.80138
"GFOD2",110.775,120.424509803922,343.6,9.4396,7.55639666666667
"GFPT1",139.176428571429,146.148039215686,990.5,8.0643,11.5049
"GFPT2",150.322857142857,277.733333333333,595.2,11.3566,8.36776
"GFRA3",22.4871428571429,27.3117647058824,378.1,4.4696,6.92545666666667
"GFRA4",33.6085714285714,49.7901960784314,114.6,10.2042,8.52270333333333
"GGA1",527.298785714286,582.351176470588,263.78,12.0128,10.0073166666667
"GGA2",82.836130952381,84.8261437908497,877.8,8.4734,9.77555333333333
"GGA3",107.247142857143,109.669607843137,256.333333333333,8.5477,9.67430666666667
"GGCT",856.448571428571,629.347058823529,9631.2,12.3236,9.45706666666667
"GGCX",80.8484285714286,72.6771568627451,455.6,8.126,8.52439666666667
"GGH",76.7542857142857,56.3196078431373,1799.85,10.2762,7.80570333333333
"GGNBP2",308.112142857143,392.744281045752,136.7,9.1657,9.50735333333333
"GGPS1",335.156428571429,374.310784313725,2264.1,10.1857,8.67766333333333
"GGTLC1",39.2771428571429,43.3450980392157,128.75,5.9161,6.52933666666667
"GGTLC2",27.345,28.4941176470588,101.5,5.1343,7.17644333333333
"GHITM",863.025,857.149019607843,13414,11.2635,10.5613333333333
"GHR",174.511428571429,160.071568627451,229.3,3.0299,6.47871333333333
"GHRH",14.6085714285714,16.5235294117647,103.2,4.1808,6.31748666666667
"GHSR",22.2595238095238,19.0464052287582,113.1,6.493,6.99365333333333
"GIF",9.11142857142857,9.33137254901961,116.7,3.1907,5.48662333333333
"GIMAP6",135.215714285714,265.699019607843,117.85,3.1009,5.91240333333333
"GIN1",74.1171428571429,68.1950980392157,161.3,8.9374,6.95036666666667
"GINS1",52.11,29.6627450980392,135.7,7.1265,9.42815333333333
"GINS2",50.5104761904762,21.7424836601307,2355.4,11.217,9.75491
"GIP",9.94428571428571,8.81960784313726,104.4,4.3412,6.20205333333333
"GIPC2",25.1714285714286,37.9578431372549,132.45,3.8493,5.28594
"GIPR",244.225714285714,237.992156862745,125.9,6.0144,7.58031333333333
"GIT1",72.9078571428571,80.7107843137255,1022.1,6.1184,10.7477
"GIT2",184.483571428571,164.224117647059,1071.25,5.8218,10.6416666666667
"GJA1",1873.46571428571,1708.68823529412,789.1,3.1484,7.92554
"GJA3",19.9678571428571,10.2843137254902,113.8,5.9506,7.65558333333333
"GJA4",130.630714285714,201.066666666667,119.9,4.3616,7.40016
"GJA5",54.3278571428571,42.5392156862745,117.45,3.674,5.56345666666667
"GJA8",11.0628571428571,13.6372549019608,113,3.3128,6.40224666666667
"GJB1",19.6992857142857,28.4235294117647,117.1,3.4886,6.49244333333333
"GJB3",28.6545238095238,37.8575163398693,215.166666666667,8.3844,6.37070666666667
"GJB4",52.8614285714286,31.7666666666667,121.2,6.306,6.4593
"GJB5",5.28428571428571,5.75882352941176,204.4,8.2139,6.46163
"GJC1",541.801071428571,305.855882352941,3296.4,6.9334,10.4607
"GJC2",108.076428571429,131.845098039216,142.6,9.7494,8.69436333333333
"GJD2",35.3214285714286,36.3764705882353,103.5,3.366,7.3523
"GK",19.8275,21.2044117647059,315.65,4.571,9.79698666666667
"GK2",12.4528571428571,16.3058823529412,109.8,3.2249,5.02528666666667
"GKN1",7.27142857142857,7.91764705882353,112.4,3.8075,4.55320333333333
"GLA",285.501428571429,302.990196078431,4992.9,11.7374,9.45006333333333
"GLB1L",66.0185714285714,86.3196078431372,328.8,5.44,7.76920333333333
"GLB1L2",147.087142857143,180.660784313725,335.9,3.9799,8.49536
"GLCE",66.74,67.5941176470588,1489.3,6.8795,9.8215
"GLDC",11.1871428571429,13.6901960784314,339.3,8.8855,10.39672
"GLE1",67.7614285714286,59.662091503268,1841,6.3226,9.64645333333333
"GLG1",661.272380952381,769.895588235294,3815.4,12.3792,10.8570666666667
"GLI1",85.5485714285714,94.9607843137255,130.9,3.5271,6.49178666666667
"GLI2",67.6885714285714,53.4486928104575,158.3,5.2411,7.32847
"GLI3",243.728571428571,393.969281045752,135.7,7.3904,10.2277466666667
"GLIPR1",310.620857142857,273.879215686275,154.4,7.933,10.8985333333333
"GLMN",80.5257142857143,73.1705882352941,1418.85,7.2946,8.07811333333333
"GLO1",1068.50428571429,921.73137254902,2960.6,9.1673,11.5658
"GLOD4",487.26,420.290196078431,6530.9,10.2461,9.07239
"GLP1R",17.59,18.0482352941176,107.8,2.6756,6.9416
"GLP2R",5.53714285714286,11.8009803921569,115.8,3.3128,5.90839666666667
"GLRA1",10.3214285714286,12.1039215686275,107.8,3.1907,5.8139
"GLRA3",17.6028571428571,15.8869281045752,110.6,3.3886,4.69527333333333
"GLRB",35.5269047619048,30.4542483660131,258.2,6.0269,8.55569
"GLRX",159.959285714286,235.407843137255,2180.5,10.8396,7.27814666666667
"GLRX2",180.442857142857,182.180392156863,175,11.0651,8.49524333333333
"GLRX3",273.619761904762,312.989869281046,8159.2,10.788,8.58832666666667
"GLRX5",736.265714285714,682.080392156863,7563,12.7332,10.0858433333333
"GLS",185.311083333333,289.602205882353,479.3,8.3142,9.38938
"GLS2",10.5185714285714,10.9230392156863,128.1,6.2419,6.7104
"GLT8D2",252.041428571429,377.193137254902,195.1,6.5672,6.50587
"GLTP",200.329285714286,198.716666666667,585.9,8.975,10.0128433333333
"GLTSCR1",299.182857142857,393.473529411765,121.2,6.0027,7.91321333333333
"GLUD1",570.525714285714,680.645098039216,8244.8,10.459,11.6424
"GLUD2",102.633571428571,126.772549019608,114.1,8.8705,5.64682333333333
"GLYAT",19.0816666666667,16.9130718954248,105.766666666667,4.2161,5.24736666666667
"GM2A",93.8944897959184,89.4217320261438,1804.5,5.7823,9.80368333333333
"GMCL1",129.025,113.766013071895,3608.3,5.5597,9.69268666666667
"GMDS",45.3821428571429,42.1552287581699,2476.2,6.0876,7.98110666666667
"GMEB1",65.6632142857143,69.8127450980392,273.3,8.9191,9.61747666666667
"GMEB2",163.612142857143,157.559803921569,3184.4,6.4881,8.18503666666667
"GMFB",334.410714285714,358.630392156863,5688.6,5.8007,10.3892
"GMFG",172.537142857143,419.256862745098,159.1,5.9819,6.87704
"GMIP",19.5135714285714,26.0990196078431,343.9,8.4805,8.13683333333333
"GML",30.3571428571429,34.6764705882353,131.2,4.9022,5.44938333333333
"GMNN",145.5,140.686274509804,5353.1,11.6052,8.44984666666667
"GMPPA",112.741428571429,74.628431372549,335.8,6.9946,9.5432
"GMPR",69.82,93.5549019607843,118.2,5.6871,10.23492
"GMPS",362.551904761905,402.115032679739,3021.8,12.3637,11.3378
"GNA11",259.522380952381,272.230392156863,202.9,8.6675,10.9114666666667
"GNA12",342.831666666667,299.629411764706,488.366666666667,4.8568,10.9071666666667
"GNA13",280.219523809524,278.136601307189,878.25,9.5139,10.9233666666667
