"GENE_SYMBOL","UL_mean","nonUL_mean","gliomaMeans","gliomaMeans_CBD","sebumMeans","sebum_CBDtreated_Means","pancreaticMeans","DE_incr_ARHGFE10_pancr","DE_decr_ARHGFE10_pancr","FC_incr_ARHGFE10_pancr","FC_decr_ARHGFE10_pancr"
"RBMX2",170.135714285714,154.233333333333,10.0757933333333,10.1081166666667,7.0923,7.097618,514.9,11182,-10472.6,22.7168382210138,0.047737688222885
"RBMXL2",7.83857142857143,10.1009803921569,7.92246333333333,8.03359,3.1484,2.975039,103.2,173.8,-154.3,2.68410852713178,0.451865008880995
"RBP1",283.031428571429,757.008823529412,8.08705666666667,7.94485333333333,9.5306,9.575724,185.9,101.9,-811.3,1.54814416352878,0.168835160331933
"RBP4",7.10857142857143,8.30588235294118,6.02384,6.11000666666667,6.6959,6.68036,148.6,414.7,-2211.8,3.7907133243607,0.148193791881691
"RBPJL",17.9642857142857,16.5235294117647,6.92965666666667,7.03032666666667,3.8998,3.261144,107.4,186.7,-183.9,2.73836126629423,0.442050970873786
"RBPMS",629.038095238095,527.368300653595,8.56816333333333,8.51940666666667,7.3626,7.067478,178.9,309.725,-4177.625,2.73127445500279,0.100163699611213
"RBX1",1184.55571428571,1051.69019607843,10.8187666666667,11.1026333333333,12.0096,12.092311,6917.1,19268.5,-16327.9,3.78563270734846,0.416721143988026
"RC3H1",190.437380952381,137.266993464052,9.50705666666667,9.54898333333333,9.5955,9.372567,113,199.4,-194.3,2.7646017699115,0.391481365487003
"RC3H2",103.941224489796,96.4533613445378,10.1373533333333,10.08228,6.872,7.21435,6378.7,11220.8,-12772.4,2.75910451972973,0.382972864603211
"RCAN2",269.301428571429,587.21568627451,8.00576666666667,7.98146666666667,4.064,4.120199,202.7,70.1,-7439.8,1.34583127775037,0.0166538898728489
"RCBTB1",97.192619047619,98.6911764705882,9.63088666666667,9.53729666666667,4.8441,5.16924,323.3,8300.3,-8559,26.6736776987318,0.0520124936313493
"RCBTB2",278.4,251.58431372549,7.32134333333333,7.41508,6.2504,6.036367,319.1,1225.15,-2421,4.83939204011282,0.240506329113924
"RCC1",89.2135714285714,74.5274509803922,8.99594666666667,9.28306666666667,6.602,6.614919,251.1,5971,-7606.3,24.7793707686181,0.0514534412450586
"RCE1",35.0378571428571,32.9666666666667,9.19065,8.84013666666667,7.9931,8.39913,1716.05,9147.7,-10708.05,6.33067218321144,0.327983205934405
"RCL1",182.425714285714,178.616993464052,8.85322333333333,8.64442333333333,11.1797,11.074615,760.6,3980.9,-4677.9,6.23389429397844,0.265762584169139
"RCN1",1057.16071428571,888.152941176471,11.1470333333333,10.9115,8.6837,9.04168,6487.65,8333.95,-5312.5,2.28458686889706,0.618965307015342
"RCN2",552.007142857143,596.176470588235,10.9068333333333,10.9903,11.2151,11.319535,2855.75,4708,-4161.9,2.64860369430097,0.418862971521926
"RCN3",129.72,120.067647058824,7.57709,7.54699333333333,4.2543,4.143966,108.6,206.8,-169.4,2.90423572744015,0.456703014753047
"RCOR1",125.292619047619,113.182679738562,9.54317333333333,9.69385333333333,8.8788,9.123231,2108.1,8440,-6201.4,5.00360514207106,0.281380365254473
